id,atom_counts,z_variance
2dm-6402,"{'Ga': 1, 'Bi': 1}",0
2dm-1195,"{'B': 1, 'Cl': 1}",0.87
2dm-6403,"{'C': 1, 'Se': 1}",0.52
2dm-1198,"{'Pr': 1, 'Sn': 5}",9.8
2dm-1199,"{'Ge': 4, 'Bi': 8}",2.07
2dm-1200,"{'Ga': 2, 'S': 5}",1.27
2dm-1203,"{'Th': 1, 'Br': 2}",1.71
2dm-1205,"{'Nb': 4, 'O': 10}",11.88
2dm-1207,"{'C': 2, 'S': 2}",0.79
2dm-1208,"{'Y': 2, 'Pb': 1}",1.5
2dm-1210,"{'B': 3, 'Rh': 1}",1.42
2dm-1212,"{'Sr': 1, 'Si': 2}",2.12
2dm-1213,"{'Sr': 1, 'Pb': 2}",9.66
2dm-6404,"{'Nb': 4, 'O': 10}",1.3
2dm-1215,"{'Be': 2, 'Co': 1}",0.92
2dm-1216,"{'Sr': 2, 'Zn': 1}",1.55
2dm-1217,"{'Pr': 1, 'C': 5}",10.07
2dm-1221,"{'Nd': 1, 'Pb': 2}",8.93
2dm-6405,"{'Tl': 1, 'P': 1}",0
2dm-1225,"{'Bi': 8, 'Pb': 4}",2.29
2dm-1226,"{'In': 4, 'I': 4}",9.93
2dm-6406,"{'Pd': 1, 'O': 2}",0.82
2dm-1235,"{'Ir': 4, 'C': 12}",1.79
2dm-1236,"{'B': 2, 'S': 5}",10.84
2dm-6407,"{'C': 2, 'Se': 2}",0.98
2dm-1243,"{'Ce': 1, 'Pb': 2}",2.21
2dm-1244,"{'Eu': 1, 'Pb': 2}",9.37
2dm-1245,"{'Ni': 2, 'Pb': 8}",10.07
2dm-1249,"{'Be': 1, 'Sn': 2}",10.31
2dm-1253,"{'Sn': 4, 'Bi': 8}",2.21
2dm-1262,"{'Sc': 1, 'F': 2}",1.02
2dm-1264,"{'Mo': 3, 'O': 8}",1.83
2dm-1272,"{'Si': 2, 'N': 6}",0.58
2dm-1276,"{'Pb': 4, 'N': 8}",2.98
2dm-1278,"{'Al': 4, 'Bi': 20}",11.54
2dm-1279,"{'Ga': 4, 'Bi': 20}",11.08
2dm-1280,"{'Ge': 6, 'Bi': 6}",1.77
2dm-1281,"{'In': 4, 'Bi': 20}",11.53
2dm-1282,"{'Si': 12, 'Pt': 4}",2.05
2dm-1283,"{'Te': 10, 'Ru': 8}",1.22
2dm-1286,"{'B': 4, 'Sb': 20}",11.45
2dm-1295,"{'In': 4, 'O': 6}",11.07
2dm-1298,"{'Al': 4, 'Br': 4}",1.4
2dm-1299,"{'Ga': 2, 'N': 6}",0.6
2dm-1300,"{'Os': 1, 'Pb': 2}",9.52
2dm-1303,"{'Os': 8, 'Se': 10}",1.15
2dm-1304,"{'Ge': 6, 'H': 2}",12.11
2dm-1308,"{'Eu': 1, 'Sn': 2}",9.41
2dm-1309,"{'Bi': 6, 'C': 2}",0.89
2dm-1312,"{'Be': 2, 'Cd': 1}",1.54
2dm-1313,"{'Sb': 6, 'Pb': 2}",0.97
2dm-1315,"{'Tl': 2, 'Te': 3}",0
2dm-1317,"{'Pu': 1, 'Br': 3}",1.89
2dm-1321,"{'B': 2, 'As': 6}",0.62
2dm-1322,"{'Sn': 2, 'Sb': 6}",0.95
2dm-1326,"{'Bi': 6, 'B': 2}",0.84
2dm-1330,"{'Sb': 6, 'Pb': 6}",2.03
2dm-1332,"{'Bi': 6, 'Pb': 2}",1.01
2dm-1337,"{'Pu': 1, 'Cl': 3}",1.77
2dm-1338,"{'C': 2, 'N': 6}",0.33
2dm-1339,"{'Mg': 10, 'Co': 2}",10.78
2dm-1340,"{'Tc': 4, 'Br': 10}",2.24
2dm-1341,"{'Si': 2, 'Bi': 6}",0.95
2dm-6409,"{'Ta': 4, 'Te': 8}",1.5
2dm-1343,"{'Ga': 4, 'Br': 4}",1.43
2dm-1344,"{'Sn': 2, 'Bi': 6}",1
2dm-1348,"{'B': 2, 'Sb': 6}",0.75
2dm-1349,"{'Te': 2, 'Au': 4}",1.45
2dm-1351,"{'Ni': 1, 'N': 2}",0.51
2dm-1352,"{'Ca': 2, 'Ir': 1}",1.29
2dm-1353,"{'Ge': 2, 'Bi': 6}",0.96
2dm-6410,"{'Cu': 4, 'Se': 2}",1.21
2dm-1356,"{'Sn': 6, 'Sb': 6}",1.94
2dm-1361,"{'Tl': 3, 'Co': 1}",1.82
2dm-1364,"{'Tc': 6, 'F': 18}",1.8
2dm-1365,"{'Nb': 4, 'O': 10}",2.02
2dm-1371,"{'Mn': 6, 'F': 18}",1.75
2dm-1372,"{'Tl': 4, 'O': 6}",10.98
2dm-1377,"{'Te': 10, 'Os': 8}",1.25
2dm-1378,"{'Ge': 2, 'N': 6}",0.61
2dm-1382,"{'In': 2, 'Se': 3}",0
2dm-1386,"{'Si': 2, 'Sb': 6}",0.76
2dm-1389,"{'Cu': 1, 'Cl': 1}",0.04
2dm-1396,"{'Mg': 2, 'Co': 1}",1.18
2dm-1397,"{'Te': 2, 'Pd': 2}",1.48
2dm-1398,"{'Mg': 2, 'Ir': 1}",1.18
2dm-1399,"{'Sb': 2, 'Pd': 1}",1.53
2dm-1400,"{'Ca': 2, 'Rh': 1}",1.31
2dm-1401,"{'Au': 2, 'Cl': 2}",10.12
2dm-1402,"{'La': 2, 'C': 1}",9.7
2dm-1406,"{'Al': 2, 'Fe': 1}",9.76
2dm-1407,"{'As': 2, 'Pd': 1}",1.47
2dm-1410,"{'Fe': 1, 'Sn': 2}",9.58
2dm-1411,"{'V': 4, 'Se': 2}",2.32
2dm-1414,"{'Nb': 4, 'Se': 12}",2.19
2dm-1416,"{'Tl': 1, 'Cl': 1}",1.23
2dm-1417,"{'P': 6, 'C': 6}",1.13
2dm-1420,"{'Nb': 4, 'Te': 6}",11.23
2dm-1422,"{'Ta': 4, 'Te': 2}",2.63
2dm-6411,"{'Ge': 1, 'S': 1}",0.68
2dm-1428,"{'Zr': 2, 'Au': 2}",2.16
2dm-1431,"{'Ca': 10, 'Co': 2}",10.63
2dm-1438,"{'Cr': 3, 'S': 4}",2.89
2dm-1440,"{'Si': 6, 'Bi': 6}",1.72
2dm-1441,"{'Al': 3, 'Rh': 1}",1.68
2dm-1445,"{'Al': 2, 'S': 3}",0
2dm-1448,"{'Ga': 2, 'S': 3}",0
2dm-1451,"{'Ba': 2, 'Ag': 2}",1.5
2dm-1454,"{'Cu': 2, 'Br': 2}",1.39
2dm-1459,"{'Si': 2, 'P': 6}",0.57
2dm-1460,"{'Si': 6, 'Sb': 6}",1.68
2dm-1461,"{'Hg': 3, 'Cl': 6}",1.22
2dm-1462,"{'Zr': 2, 'C': 4}",11.51
2dm-1463,"{'Ba': 2, 'Rh': 1}",1.46
2dm-1464,"{'Ba': 2, 'Cd': 1}",1.63
2dm-1465,"{'Te': 4, 'Mo': 3}",3.11
2dm-1466,"{'Ti': 2, 'Cu': 2}",2.19
2dm-1467,"{'Mg': 10, 'Ir': 2}",10.79
2dm-6412,"{'Tl': 1, 'N': 1}",0
2dm-1483,"{'Ni': 1, 'Bi': 2}",1.42
2dm-1488,"{'Pb': 1, 'Cl': 2}",1.24
2dm-1493,"{'Te': 4, 'Br': 4}",11.23
2dm-1494,"{'Be': 2, 'Rh': 1}",0.93
2dm-1500,"{'In': 2, 'Se': 5}",1.46
2dm-1509,"{'Tc': 6, 'Cl': 18}",2
2dm-1511,"{'Se': 4, 'I': 4}",11.33
2dm-1513,"{'Ti': 2, 'Ge': 4}",11.35
2dm-1514,"{'Ag': 2, 'F': 2}",10.19
2dm-1515,"{'Ta': 4, 'S': 2}",2.5
2dm-1516,"{'Tl': 8, 'Se': 6}",3.18
2dm-1517,"{'Zr': 3, 'Te': 2}",10.87
2dm-1519,"{'Ag': 2, 'I': 2}",10.08
2dm-1521,"{'Tl': 18, 'Te': 9}",1.48
2dm-1532,"{'Sc': 2, 'Te': 6}",11.78
2dm-1533,"{'Ba': 10, 'Ir': 2}",10.44
2dm-1534,"{'Be': 10, 'Ir': 2}",10.9
2dm-1535,"{'In': 3, 'Ir': 1}",1.85
2dm-1537,"{'Re': 6, 'F': 18}",1.76
2dm-1541,"{'B': 1, 'F': 1}",0.64
2dm-1545,"{'Ga': 2, 'Te': 5}",1.57
2dm-1546,"{'In': 1, 'F': 1}",0.99
2dm-6413,"{'Ir': 2, 'Pb': 8}",10.04
2dm-1548,"{'Ag': 1, 'Br': 1}",0
2dm-1553,"{'Tl': 3, 'Ir': 1}",1.9
2dm-1554,"{'Tl': 18, 'Te': 9}",1.48
2dm-1558,"{'Ga': 1, 'F': 1}",0.89
2dm-1561,"{'P': 2, 'Pd': 1}",1.45
2dm-1564,"{'Al': 3, 'Co': 1}",1.61
2dm-1567,"{'Sc': 1, 'Si': 3}",0
2dm-6414,"{'Te': 1, 'Pb': 1}",0.86
2dm-1573,"{'Pt': 1, 'Se': 1}",0.45
2dm-1575,"{'Te': 1, 'Pd': 1}",0.6
2dm-1580,"{'In': 8, 'Te': 6}",3.2
2dm-1581,"{'Y': 2, 'S': 6}",11.88
2dm-1584,"{'Fe': 8, 'Se': 10}",1.11
2dm-1588,"{'Hg': 1, 'Cl': 2}",1.33
2dm-1589,"{'Tl': 1, 'Br': 1}",1.3
2dm-1591,"{'Y': 1, 'Br': 2}",1.53
2dm-1593,"{'Al': 8, 'Se': 6}",2.87
2dm-1594,"{'Re': 4, 'F': 10}",1.83
2dm-1595,"{'Ga': 8, 'Se': 6}",2.81
2dm-1596,"{'Tl': 18, 'Se': 9}",1.46
2dm-1598,"{'Tl': 4, 'Br': 4}",10
2dm-1601,"{'Tl': 2, 'Te': 5}",1.62
2dm-6415,"{'Ag': 4, 'Te': 2}",1.41
2dm-1612,"{'Ni': 2, 'Se': 2}",1.27
2dm-1615,"{'Ag': 1, 'Te': 2}",1.76
2dm-1616,"{'Ta': 4, 'Te': 12}",2.43
2dm-1622,"{'Ti': 2, 'Ag': 2}",2.29
2dm-1624,"{'Sr': 2, 'Hg': 1}",1.6
2dm-1625,"{'Ga': 4, 'P': 20}",12
2dm-6416,"{'B': 1, 'As': 1}",0
2dm-1631,"{'B': 2, 'Te': 3}",0
2dm-1633,"{'Sc': 1, 'Br': 2}",1.43
2dm-1634,"{'Ru': 8, 'S': 10}",1.05
2dm-1635,"{'Mg': 2, 'Hg': 1}",1.54
2dm-1637,"{'B': 4, 'P': 20}",12.14
2dm-1638,"{'Pt': 1, 'S': 1}",0.4
2dm-1640,"{'C': 1, 'I': 2}",1.24
2dm-1643,"{'Hf': 2, 'Au': 2}",2.11
2dm-1648,"{'Au': 1, 'Se': 2}",1.2
2dm-1649,"{'Te': 4, 'W': 3}",2.58
2dm-1651,"{'Zr': 2, 'Si': 4}",11.33
2dm-1652,"{'Cu': 1, 'I': 1}",0
2dm-1656,"{'Zr': 2, 'Pb': 4}",11.13
2dm-1657,"{'Si': 1, 'I': 2}",1.42
2dm-1658,"{'Ca': 2, 'Cu': 2}",1.3
2dm-1659,"{'Ba': 1, 'C': 2}",1.1
2dm-1660,"{'Bi': 2, 'Pt': 1}",1.46
2dm-1663,"{'Bi': 16, 'Br': 4}",3.69
2dm-1665,"{'Re': 6, 'I': 18}",2.29
2dm-1670,"{'Ba': 2, 'Zn': 1}",1.55
2dm-1671,"{'Y': 2, 'I': 6}",1.57
2dm-1672,"{'Sr': 10, 'Ir': 2}",10.54
2dm-1673,"{'Sc': 1, 'Ge': 3}",0
2dm-1676,"{'In': 8, 'S': 6}",3.07
2dm-1678,"{'Al': 18, 'S': 9}",1.38
2dm-1679,"{'Tl': 1, 'I': 1}",1.4
2dm-1682,"{'Ni': 2, 'S': 2}",1.18
2dm-6417,"{'Bi': 1, 'B': 1}",0
2dm-1684,"{'Sn': 6, 'P': 6}",1.81
2dm-1685,"{'Sb': 16, 'I': 4}",3.64
2dm-1686,"{'Ba': 2, 'Au': 2}",1.37
2dm-1687,"{'Ga': 4, 'F': 4}",10.52
2dm-1689,"{'Y': 2, 'Se': 6}",11.78
2dm-1690,"{'Sb': 4, 'Pd': 2}",1.6
2dm-1694,"{'Pb': 1, 'F': 2}",0.83
2dm-1695,"{'Ca': 2, 'Hg': 1}",1.5
2dm-1703,"{'B': 2, 'Se': 3}",0
2dm-1704,"{'Hf': 3, 'Se': 2}",10.9
2dm-1705,"{'Be': 2, 'Hg': 1}",1.49
2dm-1709,"{'Ga': 3, 'Ir': 1}",1.71
2dm-1712,"{'Tl': 2, 'Cl': 2}",1.5
2dm-1713,"{'Cu': 2, 'Cl': 2}",1.31
2dm-1717,"{'B': 2, 'Te': 5}",10.63
2dm-1720,"{'La': 1, 'Sn': 3}",0
2dm-1725,"{'Ni': 1, 'Te': 1}",0.55
2dm-1727,"{'Y': 1, 'Sn': 3}",0
2dm-1728,"{'Sb': 18, 'I': 4}",14.2
2dm-1732,"{'Nb': 4, 'Se': 2}",2.55
2dm-1733,"{'Fe': 1, 'Pb': 2}",9.59
2dm-1737,"{'Cu': 2, 'S': 2}",1.28
2dm-1738,"{'Si': 6, 'N': 6}",1.27
2dm-1741,"{'Te': 4, 'Cl': 4}",11.28
2dm-1745,"{'P': 6, 'Pb': 6}",1.91
2dm-1747,"{'Fe': 1, 'Ge': 2}",9.62
2dm-1748,"{'Cu': 2, 'Cl': 2}",10.18
2dm-1755,"{'Sr': 2, 'Rh': 1}",1.38
2dm-1756,"{'Zr': 2, 'Sn': 4}",11.18
2dm-1760,"{'Mn': 6, 'Cl': 18}",2.01
2dm-1763,"{'Sn': 2, 'Te': 2}",1.05
2dm-1766,"{'Au': 2, 'I': 2}",1.65
2dm-1771,"{'Sc': 1, 'Pb': 3}",0
2dm-1775,"{'V': 4, 'Se': 12}",2.19
2dm-6418,"{'B': 1, 'P': 1}",0
2dm-1782,"{'In': 2, 'Bi': 6}",0.83
2dm-1784,"{'Bi': 18, 'Br': 4}",14.16
2dm-1786,"{'Al': 4, 'F': 4}",10.7
2dm-1787,"{'Hg': 3, 'I': 6}",1.45
2dm-1789,"{'V': 4, 'Te': 6}",11.28
2dm-1790,"{'Cr': 3, 'Se': 4}",3.1
2dm-1794,"{'Ga': 18, 'S': 9}",1.33
2dm-1795,"{'Ca': 10, 'Rh': 2}",10.61
2dm-1796,"{'Al': 2, 'P': 6}",0.52
2dm-1801,"{'Ti': 3, 'Te': 2}",11.04
2dm-1804,"{'Al': 4, 'P': 20}",12.01
2dm-1805,"{'Tl': 2, 'P': 6}",0.56
2dm-1806,"{'Tc': 4, 'F': 10}",1.81
2dm-1808,"{'B': 8, 'Se': 6}",2.13
2dm-1810,"{'Ta': 4, 'S': 12}",2.03
2dm-1811,"{'Te': 4, 'F': 4}",11.52
2dm-1812,"{'Tl': 4, 'Sb': 20}",11.63
2dm-1815,"{'Os': 8, 'S': 10}",1.08
2dm-6420,"{'B': 1, 'Sb': 1}",0
2dm-1821,"{'Sn': 4, 'Sb': 8}",2.15
2dm-1822,"{'Re': 4, 'I': 10}",2.32
2dm-1823,"{'Tl': 18, 'Se': 9}",1.46
2dm-1825,"{'Ge': 2, 'Sb': 6}",0.75
2dm-1826,"{'Ba': 1, 'Pb': 2}",2.6
2dm-1828,"{'Ta': 4, 'O': 10}",11.89
2dm-1830,"{'In': 2, 'Sb': 6}",0.75
2dm-1831,"{'Mg': 2, 'Cu': 2}",1.06
2dm-6421,"{'Al': 1, 'P': 1}",0
2dm-1836,"{'Be': 2, 'Cu': 2}",0.68
2dm-1840,"{'Bi': 2, 'B': 2}",9.45
2dm-1844,"{'Sn': 12, 'Ir': 4}",2.3
2dm-1845,"{'In': 18, 'S': 9}",1.46
2dm-1857,"{'Ga': 2, 'P': 6}",0.53
2dm-1858,"{'Co': 4, 'Si': 12}",1.95
2dm-1862,"{'Mg': 2, 'N': 1}",10.11
2dm-1863,"{'Co': 4, 'Pb': 12}",2.25
2dm-1865,"{'In': 2, 'As': 6}",0.62
2dm-1867,"{'Cu': 2, 'F': 2}",1.63
2dm-1868,"{'B': 3, 'Ir': 1}",1.43
2dm-1873,"{'P': 6, 'C': 2}",0.61
2dm-6424,"{'In': 1, 'N': 1}",0
2dm-1876,"{'Sn': 12, 'Pt': 4}",2.41
2dm-1877,"{'Hg': 3, 'F': 6}",0.83
2dm-1879,"{'P': 6, 'Pb': 2}",0.79
2dm-1880,"{'Tl': 2, 'S': 3}",0
2dm-1885,"{'Se': 6, 'N': 4}",11.29
2dm-1890,"{'Co': 4, 'Ge': 12}",2.07
2dm-1894,"{'Ge': 12, 'Pd': 4}",2.33
2dm-1898,"{'Tl': 4, 'Bi': 20}",11.53
2dm-1901,"{'Cr': 2, 'Te': 4}",1.37
2dm-1903,"{'V': 4, 'Te': 12}",11.09
2dm-1904,"{'Sb': 4, 'O': 6}",10.43
2dm-1905,"{'Ni': 2, 'S': 2}",10.93
2dm-1908,"{'Ni': 4, 'Pb': 12}",2.28
2dm-1910,"{'B': 2, 'P': 6}",0.52
2dm-1913,"{'Sn': 12, 'Rh': 4}",2.29
2dm-1919,"{'Tc': 4, 'I': 10}",2.35
2dm-6426,"{'Sn': 8, 'Rh': 2}",10.1
2dm-6427,"{'Co': 2, 'Sn': 8}",10.1
2dm-1929,"{'Hf': 3, 'S': 2}",10.95
2dm-1932,"{'Si': 12, 'Pd': 4}",2.11
2dm-1934,"{'Bi': 6, 'Pb': 6}",2.06
2dm-1936,"{'In': 2, 'N': 6}",0.8
2dm-1940,"{'Ga': 2, 'Te': 3}",0.01
2dm-1942,"{'Si': 4, 'N': 8}",1.19
2dm-1944,"{'Pd': 4, 'Pb': 12}",2.36
2dm-1946,"{'Au': 1, 'S': 2}",1.12
2dm-1949,"{'Ag': 2, 'Br': 2}",10.11
2dm-1951,"{'Pt': 2, 'Se': 2}",10.68
2dm-1957,"{'Re': 6, 'Br': 18}",2.13
2dm-1972,"{'Ni': 4, 'Sn': 12}",2.27
2dm-1941,"{'B': 18, 'S': 9}",1.74
2dm-1980,"{'Pb': 6, 'N': 8}",0
2dm-1986,"{'In': 18, 'S': 9}",1.46
2dm-1990,"{'Pd': 1, 'N': 2}",0.48
2dm-2000,"{'Os': 2, 'Cl': 6}",1.17
2dm-6429,"{'Tl': 1, 'As': 1}",0
2dm-6430,"{'In': 1, 'P': 1}",0
2dm-2004,"{'La': 1, 'Pb': 3}",0
2dm-2014,"{'Th': 1, 'Si': 2}",0.97
2dm-2017,"{'Nd': 1, 'Se': 3}",0
2dm-2018,"{'Hg': 1, 'H': 1}",0.89
2dm-2022,"{'P': 2, 'N': 2}",0.76
2dm-2023,"{'Ge': 3, 'As': 4}",2.82
2dm-2024,"{'Zr': 1, 'Cl': 4}",1.51
2dm-2025,"{'Th': 1, 'Pb': 2}",1.31
2dm-2026,"{'As': 4, 'C': 3}",3.51
2dm-2027,"{'Sb': 2, 'Te': 2}",1.49
2dm-2028,"{'Al': 1, 'S': 1}",0.53
2dm-2030,"{'Ag': 4, 'Se': 2}",10.55
2dm-2031,"{'Al': 2, 'O': 3}",1.56
2dm-2032,"{'Ag': 2, 'Se': 4}",9.16
2dm-2033,"{'Ce': 2, 'Te': 2}",1.65
2dm-2034,"{'B': 1, 'S': 1}",0.36
2dm-2036,"{'Cd': 3, 'Cu': 1}",0
2dm-2037,"{'Ag': 4, 'O': 4}",1.8
2dm-2038,"{'Ba': 2, 'Bi': 1}",1.6
2dm-2039,"{'Pd': 2, 'I': 4}",1.97
2dm-2048,"{'Zn': 3, 'Au': 1}",0
2dm-2049,"{'Ti': 1, 'Br': 4}",1.52
2dm-2054,"{'Pt': 3, 'S': 4}",1.32
2dm-2055,"{'Sn': 2, 'Br': 8}",9.68
2dm-2056,"{'Ge': 3, 'W': 1}",0
2dm-2057,"{'Bi': 1, 'Cl': 3}",1.8
2dm-2060,"{'Ga': 1, 'Te': 1}",0.63
2dm-2061,"{'Rb': 2, 'F': 1}",1.33
2dm-2063,"{'V': 1, 'Te': 2}",9.65
2dm-2064,"{'Ta': 1, 'Te': 2}",2.29
2dm-2067,"{'Bi': 2, 'As': 2}",1.38
2dm-2069,"{'B': 4, 'P': 4}",0
2dm-2072,"{'Bi': 4, 'O': 8}",1.32
2dm-2073,"{'Sr': 2, 'P': 1}",1.26
2dm-2074,"{'P': 2, 'I': 10}",10.52
2dm-2075,"{'Sb': 2, 'As': 2}",1.34
2dm-2076,"{'Tl': 1, 'Te': 1}",0.71
2dm-2079,"{'As': 10, 'Se': 10}",10.3
2dm-2083,"{'Bi': 2, 'Sb': 2}",1.49
2dm-2085,"{'Sn': 3, 'Mo': 1}",0
2dm-2086,"{'Hf': 1, 'O': 2}",1.52
2dm-2087,"{'Si': 1, 'Sn': 1}",0.37
2dm-2088,"{'Tl': 1, 'S': 1}",0.55
2dm-2090,"{'Sn': 1, 'Pb': 1}",0.45
2dm-6432,"{'Pb': 4, 'O': 8}",0.87
2dm-2094,"{'Bi': 1, 'Br': 3}",1.92
2dm-2095,"{'I': 10, 'N': 2}",10.14
2dm-2099,"{'Er': 2, 'S': 6}",11.72
2dm-2101,"{'Na': 2, 'Br': 1}",1.5
2dm-2104,"{'B': 1, 'Se': 1}",0.41
2dm-2105,"{'Mg': 2, 'Bi': 1}",1.12
2dm-2108,"{'Si': 4, 'Te': 4}",10.44
2dm-2110,"{'Bi': 4, 'O': 8}",1.05
2dm-2112,"{'Bi': 2, 'P': 2}",1.33
2dm-2113,"{'Zn': 12, 'Se': 12}",11.43
2dm-2114,"{'Pb': 3, 'N': 4}",0.02
2dm-2115,"{'Pr': 1, 'Te': 3}",0
2dm-2117,"{'I': 3, 'N': 1}",1.86
2dm-2118,"{'Zr': 1, 'Br': 4}",1.6
2dm-2122,"{'K': 2, 'I': 1}",1.86
2dm-2128,"{'Mo': 2, 'As': 2}",1.76
2dm-2129,"{'Sb': 1, 'I': 3}",2.04
2dm-2131,"{'Te': 10, 'P': 10}",10.28
2dm-2132,"{'Al': 4, 'As': 4}",0
2dm-6433,"{'P': 1, 'Pd': 1}",0
2dm-2136,"{'Al': 1, 'Te': 1}",0.64
2dm-2137,"{'In': 1, 'Se': 1}",0.64
2dm-2138,"{'Cd': 3, 'As': 1}",0
2dm-2139,"{'Ge': 3, 'Bi': 4}",3.17
2dm-2140,"{'Bi': 12, 'Te': 12}",10.05
2dm-6434,"{'Pt': 1, 'N': 1}",0
2dm-2148,"{'Cd': 3, 'Ag': 1}",0
2dm-2149,"{'Bi': 12, 'Au': 2}",3.32
2dm-2155,"{'Ge': 3, 'Sb': 4}",3.02
2dm-2157,"{'N': 4, 'O': 6}",0.35
2dm-2161,"{'Sn': 3, 'Sb': 4}",3.12
2dm-6435,"{'Sb': 1, 'Pd': 1}",0
2dm-2164,"{'Mg': 2, 'Sb': 1}",1.14
2dm-2165,"{'Lu': 1, 'Bi': 2}",9.99
2dm-2166,"{'Cd': 3, 'Au': 1}",0
2dm-2168,"{'Zr': 1, 'Sb': 2}",8.67
2dm-2170,"{'Ta': 4, 'O': 8}",0.88
2dm-2173,"{'Ca': 2, 'Sb': 1}",1.28
2dm-2174,"{'Pr': 1, 'Se': 3}",0
2dm-2175,"{'Au': 2, 'Se': 4}",9.16
2dm-2180,"{'Y': 2, 'Se': 2}",10.19
2dm-2182,"{'Rb': 2, 'I': 1}",1.89
2dm-2183,"{'Te': 4, 'Au': 2}",9.16
2dm-2184,"{'Te': 2, 'Au': 4}",10.51
2dm-2185,"{'In': 1, 'S': 1}",0.59
2dm-2186,"{'Fe': 3, 'Te': 4}",2.7
2dm-2188,"{'Fe': 6, 'Se': 8}",2.79
2dm-2193,"{'Te': 8, 'Ru': 4}",1.45
2dm-2195,"{'Li': 2, 'I': 1}",1.47
2dm-2196,"{'Sn': 4, 'O': 6}",11.44
2dm-2199,"{'As': 2, 'Se': 2}",1.19
2dm-2200,"{'P': 4, 'O': 8}",0.84
2dm-2201,"{'Se': 2, 'N': 2}",1.61
2dm-2202,"{'B': 13, 'Sb': 2}",10.05
2dm-2206,"{'P': 4, 'Pb': 3}",2.91
2dm-2207,"{'In': 4, 'N': 4}",0
2dm-2208,"{'B': 1, 'Te': 1}",0.42
2dm-2209,"{'Hg': 12, 'Se': 12}",14.61
2dm-2210,"{'As': 2, 'N': 2}",0.89
2dm-6437,"{'Ni': 1, 'N': 1}",0
2dm-2212,"{'Be': 2, 'Bi': 1}",0.88
2dm-2219,"{'Sb': 2, 'Se': 2}",1.44
2dm-2220,"{'Sn': 3, 'W': 1}",0
2dm-2224,"{'Er': 2, 'Se': 6}",11.61
2dm-2226,"{'As': 2, 'P': 2}",1.16
2dm-2228,"{'Bi': 12, 'Se': 12}",10.13
2dm-2229,"{'Ga': 4, 'As': 4}",0
2dm-2233,"{'Sb': 12, 'Au': 2}",2.82
2dm-2237,"{'Sr': 2, 'Bi': 1}",1.37
2dm-2238,"{'Ba': 2, 'P': 1}",1.38
2dm-2243,"{'K': 2, 'Br': 1}",1.67
2dm-2244,"{'Sb': 1, 'Cl': 3}",1.75
2dm-2245,"{'Bi': 2, 'B': 13}",10.04
2dm-2247,"{'Fe': 6, 'Te': 8}",2.85
2dm-2248,"{'Ge': 3, 'P': 4}",2.67
2dm-2250,"{'S': 1, 'O': 3}",1.02
2dm-2252,"{'Al': 4, 'Bi': 4}",0
2dm-2257,"{'Te': 10, 'As': 10}",10.21
2dm-2260,"{'Sn': 3, 'Bi': 4}",3.38
2dm-2261,"{'Nb': 2, 'O': 5}",1.15
2dm-2262,"{'Li': 2, 'Br': 1}",1.35
2dm-6438,"{'As': 1, 'Pt': 1}",0
2dm-2266,"{'Hg': 3, 'P': 1}",0
2dm-2269,"{'In': 4, 'P': 4}",0
2dm-2270,"{'Mg': 2, 'P': 1}",0.98
2dm-2271,"{'Na': 2, 'F': 1}",1.1
2dm-2273,"{'Cr': 2, 'P': 2}",1.55
2dm-2274,"{'Pb': 3, 'W': 1}",0
2dm-2277,"{'Ca': 2, 'As': 1}",1.2
2dm-2279,"{'Sc': 2, 'Se': 2}",10.28
2dm-2282,"{'Os': 4, 'Se': 8}",1.37
2dm-2283,"{'Ga': 4, 'Bi': 4}",0
2dm-2286,"{'As': 4, 'O': 8}",1.1
2dm-2291,"{'Hf': 1, 'Cl': 4}",1.49
2dm-2292,"{'Hf': 6, 'O': 6}",4.71
2dm-2293,"{'Sr': 2, 'As': 1}",1.28
2dm-2294,"{'Ti': 1, 'Cl': 4}",1.42
2dm-2295,"{'P': 1, 'O': 2}",1.2
2dm-2296,"{'Si': 3, 'Sb': 4}",3.08
2dm-2297,"{'Te': 2, 'N': 2}",1.33
2dm-2298,"{'Hf': 1, 'F': 4}",1.21
2dm-2299,"{'Cu': 2, 'Te': 4}",9.33
2dm-2300,"{'Hg': 12, 'S': 12}",12.02
2dm-2301,"{'Zr': 1, 'O': 2}",1.53
2dm-2306,"{'P': 1, 'Cl': 3}",1.55
2dm-2308,"{'Ga': 1, 'S': 1}",0.54
2dm-2309,"{'Os': 6, 'Se': 8}",2.88
2dm-2313,"{'Ti': 1, 'I': 4}",1.68
2dm-2316,"{'Sc': 2, 'S': 2}",10.34
2dm-6439,"{'As': 1, 'Pd': 1}",0
2dm-2319,"{'Ho': 1, 'Bi': 2}",9.92
2dm-2321,"{'Zn': 12, 'Se': 12}",14.3
2dm-2322,"{'Te': 2, 'P': 2}",1.3
2dm-2323,"{'Li': 2, 'Cl': 1}",1.25
2dm-2325,"{'Ru': 6, 'S': 8}",2.77
2dm-2329,"{'Ag': 4, 'S': 2}",10.59
2dm-2330,"{'Ru': 6, 'Se': 8}",2.95
2dm-6440,"{'Ge': 4, 'O': 8}",0.79
2dm-2334,"{'Sb': 4, 'Pb': 3}",3.13
2dm-2336,"{'Pt': 2, 'I': 4}",2.04
2dm-2337,"{'Ge': 1, 'Pb': 1}",0.41
