id,atom_counts,z_variance
2dm-279,"{'Si': 2, 'S': 2}",1.12
2dm-280,"{'Sn': 1, 'S': 1}",0.74
2dm-282,"{'Ag': 2, 'Se': 2}",1.57
2dm-284,"{'H': 2, 'Pb': 2}",10.59
2dm-287,"{'Tb': 2, 'Si': 1}",1.35
2dm-289,"{'Al': 2, 'S': 2}",1.91
2dm-291,"{'Ga': 1, 'Cl': 1}",1.09
2dm-296,"{'As': 8, 'Pb': 4}",2.06
2dm-298,"{'B': 2, 'Se': 2}",1.41
2dm-302,"{'Ni': 1, 'Se': 1}",0.47
2dm-304,"{'La': 2, 'Si': 1}",9.49
2dm-310,"{'Sn': 1, 'Br': 2}",1.4
2dm-312,"{'Ag': 2, 'F': 2}",1.34
2dm-315,"{'Hf': 2, 'Ag': 2}",2.32
2dm-316,"{'Ge': 4, 'N': 8}",1.38
2dm-320,"{'Re': 4, 'Te': 8}",1.4
2dm-321,"{'Nd': 2, 'F': 6}",1
2dm-322,"{'In': 2, 'Ru': 1}",1.33
2dm-323,"{'Ga': 4, 'O': 6}",11.05
2dm-326,"{'In': 4, 'Br': 4}",10.04
2dm-329,"{'B': 4, 'Br': 4}",0.96
2dm-330,"{'Sn': 6, 'As': 6}",1.86
2dm-332,"{'Si': 4, 'Sb': 8}",2.02
2dm-336,"{'Sb': 4, 'O': 8}",2.36
2dm-341,"{'In': 2, 'S': 2}",2.09
2dm-351,"{'Se': 4, 'Br': 4}",11.37
2dm-354,"{'Y': 2, 'Br': 6}",1.42
2dm-356,"{'Al': 18, 'Te': 9}",1.46
2dm-361,"{'Eu': 1, 'P': 2}",0.8
2dm-362,"{'Au': 2, 'F': 2}",1.89
2dm-366,"{'W': 2, 'I': 6}",1.39
2dm-367,"{'Pr': 2, 'S': 6}",11.92
2dm-368,"{'S': 3, 'N': 2}",3.01
2dm-373,"{'Si': 2, 'S': 2}",0.8
2dm-374,"{'B': 2, 'Te': 2}",9.69
