,Unnamed: 0,atom_counts,puckering
116,116,"{'H': 2, 'Pb': 2}",Puckered
117,117,"{'Tb': 2, 'Si': 1}",Puckered
118,118,"{'Al': 2, 'S': 2}",Puckered
119,119,"{'Ga': 1, 'Cl': 1}",Puckered
120,120,"{'As': 8, 'Pb': 4}",Puckered
121,121,"{'B': 2, 'Se': 2}",Puckered
122,122,"{'Ni': 1, 'Se': 1}",Puckered
123,123,"{'La': 2, 'Si': 1}",Puckered
124,124,"{'Sn': 1, 'Br': 2}",Puckered
125,125,"{'Ag': 2, 'F': 2}",Puckered
126,126,"{'Hf': 2, 'Ag': 2}",Puckered
127,127,"{'Ge': 4, 'N': 8}",Puckered
128,128,"{'Re': 4, 'Te': 8}",Puckered
129,129,"{'Nd': 2, 'F': 6}",Puckered
130,130,"{'In': 2, 'Ru': 1}",Puckered
131,131,"{'Ga': 4, 'O': 6}",Puckered
132,132,"{'In': 4, 'Br': 4}",Puckered
133,133,"{'B': 4, 'Br': 4}",Puckered
134,134,"{'Sn': 6, 'As': 6}",Puckered
135,135,"{'Si': 4, 'Sb': 8}",Puckered
136,136,"{'Sb': 4, 'O': 8}",Puckered
137,137,"{'In': 2, 'S': 2}",Puckered
138,138,"{'Se': 4, 'Br': 4}",Puckered
139,139,"{'Y': 2, 'Br': 6}",Puckered
140,140,"{'Al': 18, 'Te': 9}",Puckered
141,141,"{'Eu': 1, 'P': 2}",Puckered
142,142,"{'Au': 2, 'F': 2}",Puckered
143,143,"{'W': 2, 'I': 6}",Puckered
144,144,"{'Pr': 2, 'S': 6}",Puckered
145,145,"{'S': 3, 'N': 2}",Puckered
146,146,"{'Si': 2, 'S': 2}",Puckered
147,147,"{'B': 2, 'Te': 2}",Puckered
148,148,"{'Sn': 2, 'N': 6}",Puckered
149,149,"{'Ti': 1, 'F': 2}",Puckered
150,150,"{'B': 8, 'S': 6}",Puckered
151,151,"{'Be': 1, 'Ge': 2}",Puckered
152,152,"{'U': 2, 'S': 10}",Puckered
153,153,"{'Al': 2, 'Se': 5}",Puckered
154,154,"{'Sr': 2, 'Au': 2}",Puckered
155,155,"{'Mn': 6, 'Br': 18}",Puckered
156,156,"{'Sn': 2, 'Te': 2}",Puckered
157,157,"{'As': 8, 'C': 4}",Puckered
158,158,"{'W': 12, 'I': 24}",Puckered
159,159,"{'Zr': 2, 'F': 6}",Puckered
160,160,"{'Si': 4, 'O': 4}",Puckered
161,161,"{'In': 2, 'Fe': 1}",Puckered
162,162,"{'Te': 2, 'Pb': 2}",Puckered
163,163,"{'In': 2, 'Os': 1}",Puckered
164,164,"{'Ga': 1, 'I': 1}",Puckered
165,165,"{'P': 2, 'Se': 3}",Puckered
166,166,"{'Y': 2, 'F': 6}",Puckered
167,167,"{'Ga': 2, 'Os': 1}",Puckered
168,168,"{'Y': 2, 'Ge': 1}",Puckered
169,169,"{'Ag': 2, 'Br': 2}",Puckered
170,170,"{'Ge': 6, 'Sb': 6}",Puckered
171,171,"{'Tb': 2, 'F': 6}",Puckered
172,172,"{'Sb': 2, 'O': 3}",Puckered
173,173,"{'Pd': 1, 'S': 1}",Puckered
174,174,"{'Sm': 2, 'S': 6}",Puckered
175,175,"{'Rh': 4, 'Pb': 12}",Puckered
176,176,"{'As': 2, 'Pt': 1}",Puckered
177,177,"{'Si': 4, 'Bi': 8}",Puckered
178,178,"{'Al': 1, 'Br': 1}",Puckered
179,179,"{'Nd': 2, 'Cl': 6}",Puckered
180,180,"{'S': 8, 'O': 18}",Puckered
181,181,"{'Bi': 4, 'S': 6}",Puckered
182,182,"{'Pb': 1, 'Se': 1}",Puckered
183,183,"{'Ga': 2, 'As': 6}",Puckered
184,184,"{'Sc': 1, 'I': 2}",Puckered
185,185,"{'W': 3, 'S': 4}",Puckered
186,186,"{'Ag': 1, 'S': 2}",Puckered
187,187,"{'Mg': 10, 'Rh': 2}",Puckered
188,188,"{'Sn': 4, 'O': 4}",Puckered
189,189,"{'C': 2, 'Se': 2}",Puckered
190,190,"{'Ti': 2, 'Si': 4}",Puckered
191,191,"{'Cd': 3, 'F': 6}",Puckered
192,192,"{'Ga': 8, 'O': 6}",Puckered
193,193,"{'Ge': 1, 'Cl': 2}",Puckered
194,194,"{'Ag': 2, 'Cl': 2}",Puckered
195,195,"{'As': 4, 'S': 6}",Puckered
196,196,"{'Sb': 18, 'Br': 4}",Puckered
197,197,"{'Zr': 3, 'S': 2}",Puckered
198,198,"{'Zr': 2, 'Hg': 2}",Puckered
199,199,"{'Ti': 2, 'F': 2}",Puckered
200,200,"{'Dy': 2, 'F': 6}",Puckered
201,201,"{'W': 2, 'F': 6}",Puckered
202,202,"{'Ge': 1, 'F': 2}",Puckered
203,203,"{'Bi': 2, 'F': 6}",Puckered
204,204,"{'Pd': 2, 'Se': 2}",Puckered
205,205,"{'Au': 2, 'S': 2}",Puckered
206,206,"{'Te': 2, 'C': 1}",Puckered
207,207,"{'Eu': 1, 'Bi': 2}",Puckered
208,208,"{'Al': 18, 'Te': 9}",Puckered
209,209,"{'Pu': 2, 'F': 6}",Puckered
210,210,"{'Zn': 3, 'I': 6}",Puckered
211,211,"{'Tl': 2, 'Se': 2}",Puckered
212,212,"{'Ag': 2, 'S': 2}",Puckered
213,213,"{'Sc': 2, 'Ge': 1}",Puckered
214,214,"{'Y': 2, 'F': 6}",Puckered
215,215,"{'Nd': 2, 'S': 6}",Puckered
216,216,"{'Sn': 2, 'Os': 1}",Puckered
217,217,"{'W': 3, 'Se': 4}",Puckered
218,218,"{'Ag': 2, 'Br': 2}",Puckered
219,219,"{'Zr': 2, 'Zn': 2}",Puckered
220,220,"{'K': 6, 'O': 3}",Puckered
221,221,"{'Si': 2, 'Te': 2}",Puckered
222,222,"{'Sn': 1, 'Te': 1}",Puckered
223,223,"{'La': 1, 'Ge': 3}",Planar
224,224,"{'Ga': 2, 'Se': 5}",Puckered
225,225,"{'Ru': 2, 'Br': 6}",Puckered
226,226,"{'Y': 1, 'Ge': 3}",Planar
227,227,"{'Tb': 2, 'Sn': 1}",Puckered
228,228,"{'B': 4, 'O': 6}",Puckered
229,229,"{'Sn': 6, 'N': 6}",Puckered
230,230,"{'Zr': 2, 'Ag': 2}",Puckered
231,231,"{'Sc': 2, 'Se': 6}",Puckered
232,232,"{'B': 4, 'Cl': 4}",Puckered
233,233,"{'Ag': 2, 'Cl': 2}",Puckered
234,234,"{'In': 18, 'Se': 9}",Puckered
235,235,"{'Zn': 1, 'F': 2}",Puckered
236,236,"{'Bi': 8, 'C': 4}",Puckered
237,237,"{'Au': 4, 'S': 2}",Puckered
238,238,"{'Sn': 4, 'N': 8}",Puckered
239,239,"{'Nb': 4, 'S': 2}",Puckered
240,240,"{'Sc': 2, 'S': 6}",Puckered
241,241,"{'W': 1, 'O': 3}",Puckered
242,242,"{'B': 2, 'Se': 5}",Puckered
243,243,"{'Sb': 8, 'O': 16}",Puckered
244,244,"{'Eu': 1, 'As': 2}",Puckered
245,245,"{'W': 2, 'S': 4}",Puckered
