,system,atom_types,max_puckering,mean_puckering
105,squarographene,{'C': 5},0.0032,0.0015
106,C3N2,"{'C': 12, 'N': 8}",0.0032,0.0015
107,InBi,"{'In': 1, 'Bi': 1}",0.0032,0.0016
108,NGD-REC,"{'C': 24, 'N': 4}",0.0032,0.0017
109,BC6N-Hex2,"{'C': 6, 'B': 1, 'N': 1}",0.0032,0.0016
110,6.6.12-Gy,{'C': 18},0.0032,0.0015
111,OPG-L,{'C': 12},0.0032,0.0013
112,InAs,"{'In': 1, 'As': 1}",0.0032,0.0016
113,14,{'C': 21},0.0032,0.001
114,BBi,"{'B': 1, 'Bi': 1}",0.0032,0.0016
115,DHP-graphene,{'C': 24},0.0032,0.001
116,9,{'C': 36},0.0032,0.0014
117,HOP-graphene,{'C': 10},0.0032,0.0014
118,TPH-graphene,{'C': 20},0.0032,0.0015
119,H2,{'C': 10},0.0032,0.0015
120,NGY-REC,"{'C': 16, 'N': 4}",0.0032,0.0017
121,c14n18,"{'C': 14, 'N': 18}",0.0032,0.0019
122,c10N3,"{'C': 10, 'N': 3}",0.0032,0.0015
123,Ge2Bi2,"{'Ge': 1, 'Bi': 1}",0.0032,0.0015
124,InN,"{'In': 1, 'N': 1}",0.0032,0.0016
125,beta-GY,{'C': 18},0.0032,0.0016
126,TPHHO-graphene,{'C': 10},0.0032,0.0016
127,C3N5,"{'C': 12, 'N': 20}",0.0032,0.0019
128,4,{'C': 36},0.0032,0.0013
129,GaGD-REC,"{'C': 22, 'Ga': 2}",0.0032,0.0013
130,BGY-REC,"{'C': 12, 'B': 2}",0.0032,0.0013
131,pentaheptite,{'C': 8},0.0032,0.0015
132,C4N3,"{'C': 4, 'N': 3}",0.0032,0.0015
133,BC10N2,"{'C': 20, 'N': 4, 'B': 2}",0.0032,0.0015
134,2,{'C': 22},0.0032,0.0014
135,CN,"{'C': 6, 'N': 6}",0.0032,0.0024
136,BC6N-Rec,"{'C': 6, 'N': 1, 'B': 1}",0.0032,0.0015
137,pza_c10,{'C': 10},0.0032,0.0015
138,10,{'C': 28},0.0032,0.0015
139,C3N4,"{'C': 3, 'N': 4}",0.0032,0.0022
140,11,{'C': 36},0.0032,0.0016
141,GaBi,"{'Ga': 1, 'Bi': 1}",0.0032,0.0016
142,14.14.14-GY,{'C': 12},0.0032,0.0016
143,19,{'C': 5},0.0032,0.0013
144,GaGY-REC,"{'C': 12, 'Ga': 2}",0.0032,0.0013
145,3,{'C': 36},0.0032,0.0016
146,phagraphene,{'C': 20},0.0032,0.0016
147,BPC,{'C': 12},0.0032,0.001
148,OPG-Z,{'C': 12},0.0032,0.0014
149,PBN,"{'P': 2, 'B': 2, 'N': 2}",0.0032,0.0016
150,17,{'C': 5},0.0032,0.0012
151,c10n9,"{'C': 10, 'N': 9}",0.0032,0.0019
152,GY1,{'C': 12},0.0032,0.0015
153,azugraphene,{'C': 38},0.0032,0.0016
154,16,{'C': 36},0.0032,0.0013
155,molybdenene,{'Mo': 2},0.339,0.1482
156,borophene_hole,{'B': 14},0.4452,0.103
157,silicene,{'Si': 2},0.6215,0.3144
158,Sn2N2,"{'Sn': 1, 'N': 1}",0.7125,0.3602
159,germanene,{'Ge': 2},0.8033,0.4059
160,stanene,{'Sn': 2},0.8425,0.4257
161,Pb2N2,"{'Pb': 1, 'N': 1}",0.8483,0.4286
162,C2P2,"{'C': 1, 'P': 1}",0.8687,0.4389
163,beta-β-Ge2N2,"{'Ge': 2, 'N': 2}",0.8781,0.6016
164,alpha-α-Ge2N2,"{'Ge': 2, 'N': 2}",0.8845,0.5912
165,C2As2,"{'C': 1, 'As': 1}",0.8915,0.4503
166,Ge2N2,"{'Ge': 1, 'N': 1}",0.9003,0.4548
167,C2Bi2,"{'C': 1, 'Bi': 1}",0.9063,0.3738
168,C2Sb2,"{'C': 1, 'Sb': 1}",0.9068,0.458
169,twin-graphene,{'C': 18},0.9145,0.5704
170,Si2P2,"{'Si': 1, 'P': 1}",0.9436,0.4766
171,Ge2P2,"{'Ge': 1, 'P': 1}",0.9594,0.4845
